nombre,identificacion,tipo_vivienda
Ana Luisa Ocasio,74519676,otro
Mtro. Alfonso Gonzales,51123656,otro
David Corrales,61970736,apartamento
Berta Lucas Tamayo Navarrete,16211947,aparta estudio
María Aguilera Maldonado,48277592,aparta estudio
Mtro. Graciela Hurtado,97789469,otro
Juan Ruby Campos,70441506,apartamento
Ramiro Moya Villa,18866844,finca
Sr(a). Abraham Alba,73515252,casa
Mateo Espinal Matías,23053600,aparta estudio
Linda Patiño Esquibel,51476144,apartamento
Carlota Lebrón Cedillo,98702977,otro
Mayte Espinoza,26193887,casa
Mercedes Uriel Pantoja,46699098,aparta estudio
Rebeca Matías Ayala,76917607,apartamento
María Eugenia Pedroza Castillo,83171124,aparta estudio
Gabriel Asunción Soto Ureña,53455672,finca
Oswaldo Valencia Aguilar,71491521,aparta estudio
Indira Zayas Arriaga,96351292,finca
Benito Guadalupe Vázquez,93388754,finca
Dr. Florencia Briseño,19125378,apartamento
Ofelia Navarrete,65775326,aparta estudio
Anabel Víctor Tovar Grijalva,51089034,otro
Soledad Montalvo Salazar,43860536,casa
Reina Robledo Cervántez,90775276,aparta estudio
Humberto Loera,23292028,finca
Georgina Muñiz,91344626,finca
Adán Augusto Mercado,12327900,casa
Carmen Enrique Montenegro de Jesús,96433303,finca
Juan Quintana,29758410,otro
Ofelia Estela Fierro,43158672,casa
Rosalia Alba,67548779,finca
Camila Rolando de León,33436981,casa
Homero Adalberto Casárez Ávalos,55812882,aparta estudio
Blanca Montoya Suárez,91061357,aparta estudio
Vanesa César Olivas,59483924,otro
Juan María Elena Sáenz,18566420,casa
Roberto Teresa Balderas Arellano,28472055,aparta estudio
Tomás Benavides,90450162,otro
Lic. Óliver de la Garza,81496951,otro
Daniela Arturo Orta,11745616,finca
Ing. Daniel Laboy,63843468,apartamento
Gerónimo Olvera,13853238,aparta estudio
Concepción Jacobo Franco,40798067,finca
Sr(a). Linda Covarrubias,89687621,apartamento
Florencia Aparicio Caballero,85539972,finca
Ing. Hugo Páez,54283060,apartamento
Jonás Lira Flores,50148994,apartamento
Ing. Alta  Gracia Montañez,17036597,casa
Perla María Cristina Santana,82370397,casa
Mtro. Abraham Reséndez,38696875,apartamento
Mtro. Óscar Valdez,25839499,casa
Dulce José Verduzco,88036215,apartamento
Mayte Jimínez Villa,40479845,otro
Sr(a). Raquel Sandoval,81478696,finca
Barbara Puga Rodríguez,91030418,aparta estudio
Timoteo Flores,99926124,otro
Julia Sierra,69547143,apartamento
Sr(a). José María Jiménez,70689438,finca
Julio César Julia Hernández Mora,86599934,aparta estudio
Cristobal Munguía Gonzales,66965512,apartamento
Celia Alejandro Zepeda Narváez,60207901,apartamento
Yuridia María Yáñez,56250757,otro
Salma Andrés Vallejo,52536652,finca
Esther Medrano,33215542,aparta estudio
Amador Isaac García,24137403,apartamento
Jacobo Dueñas Burgos,89233947,otro
César Teresa Campos Molina,22423312,apartamento
Eduardo Samuel Armenta,85474822,aparta estudio
Ivonne Amelia Báez,67177587,casa
Felipe Badillo,44491424,finca
Evelio Elias Sauceda,34010810,otro
Maximiliano Luis Vigil Alcaraz,80573489,aparta estudio
Eugenia Gilberto Arriaga,25381021,finca
Ing. Eva Matías,18917816,otro
Dr. Elsa Quintero,72161814,apartamento
Guillermina Lilia Granados,32412602,finca
Samuel Dolores Angulo,34831378,apartamento
Jorge Pamela Esquivel,61534939,otro
Judith Eugenia Mireles,87183927,finca
Lic. Natividad Salazar,41146334,otro
Manuel Sessa Espinosa Hernandes,72476418,otro
Fernando Socorro Rosas,85765366,otro
Mtro. Jos Riojas,64079843,casa
Leticia Ochoa Castañeda,12019748,casa
Lic. Rodolfo Treviño,12410216,casa
Lic. Miguel Ángel Heredia,37568512,casa
Carolina Rael,83579644,otro
Aldonza Vásquez Tafoya,10461068,casa
Pamela Valenzuela,44576055,casa
Berta Colunga Mayorga,29151090,apartamento
Caridad Guajardo Urbina,15371846,apartamento
Noelia Piña,34463607,aparta estudio
Mayte Hernán Esquivel,18096112,aparta estudio
Amanda Camarillo,60559705,aparta estudio
Asunción Mauro Meléndez Rosales,23172904,aparta estudio
Nancy Guillen,29991053,otro
Jaime Venegas Castellanos,92355877,otro
Delia Cervantes,17816860,finca
Pablo Patiño Colón,11922873,casa
Nadia Granado,93160711,apartamento
Ricardo Salcido,78275587,casa
Úrsula Sánchez,75550195,finca
Sandra Berta Vela,91132182,apartamento
Alejandra José Eduardo Guajardo Pelayo,68200709,finca
Noemí Salcedo Rico,93902737,apartamento
Sr(a). Ángela de la Garza,84116341,otro
Carmen Camila Vergara,85692456,apartamento
Mtro. Lilia Robledo,51752386,casa
Alejandro Vaca,62091235,otro
Luis Caridad Covarrubias,92336466,aparta estudio
Hugo Salgado,18589081,otro
David Renato Cadena Ocasio,23380876,otro
Esperanza Pérez Rosado,35770815,finca
Graciela Alonzo Orozco,76466595,otro
Nelly Montero Medrano,85534610,otro
Benjamín Espinoza,90066222,finca
Felipe Urrutia Urbina,66061510,finca
Cecilia Andrea Olivárez Castellanos,36485776,finca
Felix Quintero,56929834,finca
Jacobo Sara Zavala Rosales,84331579,aparta estudio
Julia Campos,92368000,apartamento
Sr(a). Asunción Rosado,20144946,aparta estudio
Lourdes Irizarry,76460591,casa
Miguel Rebeca Valencia,39900994,casa
Guillermina Estefanía Valdés Arenas,18669428,otro
Guadalupe Isabela Matías,71048774,finca
Dr. Sergio Corrales,39412175,aparta estudio
Judith Corral,11754063,finca
Araceli Sanches,19672796,finca
Indira Adela Patiño Menéndez,35694583,casa
Genaro Ojeda,66322054,apartamento
Pilar Duarte Estévez,11940443,apartamento
Sr(a). Diana Hernádez,99211043,finca
Berta Mata Godínez,69451579,finca
Gerónimo Socorro Coronado Verduzco,68684685,finca
José Lucía Cedillo,87975538,finca
Ing. Dulce Arevalo,53842023,finca
Paola Cornejo Valladares,96935202,otro
René Patricia Vallejo Escalante,26646755,finca
Barbara María Fierro,92738965,apartamento
Socorro Alberto Carmona Benavídez,67980813,casa
David Raúl Villaseñor,45345728,casa
Karina Fernando Carbajal,78159344,otro
Luis Manuel Jorge Luis Camacho Dávila,87388684,finca
Gonzalo Augusto Fierro Alva,43174125,otro
Esparta Zoé Uribe Velasco,46150696,aparta estudio
Esperanza Oswaldo Quintero Abrego,96663616,otro
Leonor Valdivia Tamayo,20422349,otro
Dolores Judith Ojeda Quintero,30653420,finca
Jorge Luis Claudio de Anda Nevárez,64855112,otro
Reynaldo Monroy del Río,95422408,finca
Bernardo Valverde Olivo,68118231,otro
Amalia Conchita Orellana López,69536168,finca
Hermelinda Alvaro Peralta,96419686,finca
Lic. Bernardo Lemus,31127983,apartamento
Laura Emiliano Vásquez,72419297,finca
Julia Pablo Jaimes,13001354,apartamento
Mariano Reséndez Delgadillo,37140378,aparta estudio
Iván Javier Molina Elizondo,21950128,otro
Guillermo Flavio Pabón,84596924,aparta estudio
Rafaél Feliciano,84988881,finca
Arturo Catalina Iglesias Rico,58494015,apartamento
Victoria Alberto Armas,94761211,casa
Esther Juan Carlos Chacón,79293025,finca
Lic. Carmen Olivo,74937978,aparta estudio
Micaela Curiel Rivero,16731285,apartamento
Caridad Benito Salcedo Munguía,79728235,finca
Alicia Rojas Adame,60020080,apartamento
Javier Marisela Farías Mascareñas,77473227,aparta estudio
Sr(a). Celia Castañeda,66745454,aparta estudio
Trinidad Juan Sauceda Raya,76234373,finca
Samuel Ramírez Collazo,30281184,casa
Mtro. Nancy Corona,30092290,aparta estudio
Barbara Lebrón Villa,15742230,casa
Araceli Esperanza Almonte Rolón,30483768,aparta estudio
Rosa Alejandra Barela,27615449,apartamento
Guillermo Tejada,57873506,otro
Esther Pablo Blanco,18031081,apartamento
Ilse Julia Linares,18028720,otro
Leonor Gilberto Osorio,98197411,aparta estudio
Susana Dávila Aponte,10668428,apartamento
Ing. Úrsula Miranda,21073919,otro
Cristal Socorro Crespo Feliciano,22353740,apartamento
Arcelia Carolina Melgar Vallejo,65714602,otro
Clara Martínez Rocha,21967400,finca
Pedro Gregorio Ureña Marín,89929941,casa
Leonardo Barrios Cordero,25178244,finca
Clemente Granados,52490922,apartamento
Cristobal Mesa Villagómez,82182124,otro
Hernán Dulce María Gamez,80370801,finca
Augusto Jurado,95551279,casa
Luis Manuel Marcela Garrido Maya,60929079,otro
Socorro Alta  Gracia Holguín,89714414,aparta estudio
Carolina Enrique Campos Domínguez,73969817,casa
Armando Barela,67286375,apartamento
María Miramontes Navarro,73653301,aparta estudio
Rocío Norma Nava,33210354,aparta estudio
Olga Socorro Almanza Ojeda,77842953,apartamento
Conchita Jesús Arteaga Sanabria,52285830,casa
Tomás Alcántar,33289195,otro
Sr(a). Eloisa Treviño,78597758,finca
Pablo Cardona,56047039,aparta estudio
Sr(a). Florencia Lucio,21336931,aparta estudio
Salma Noemí Medrano Acuña,60357513,finca
Liliana Abraham Valles,57028391,apartamento
Lic. Sergio Salgado,91796616,otro
Roberto Elsa Parra,99981663,finca
Agustín Alonzo,29813036,aparta estudio
Sr(a). Raquel Lozano,78252136,aparta estudio
Reynaldo Montaño Hernádez,32579597,otro
Vicente Anabel Segura Palomo,81290051,finca
Luis Soledad Huerta,83469801,casa
Lic. Ángel Dávila,95386104,apartamento
Amelia Helena Delgado Vergara,46882872,casa
Antonio Tamayo,56640852,aparta estudio
Luis Hernán Longoria,74834799,finca
Salvador Verónica Treviño,39250823,aparta estudio
Gabriel Sanabria,27771006,casa
Julio Camarillo Ruelas,42459830,finca
Ángela Eric Roldán,25946788,apartamento
Irene Rosales Leyva,66854680,finca
Dalia Cornelio Baca Aponte,73077326,apartamento
Alta  Gracia Micaela Valle,52329159,otro
Rufino Quiñones Barela,12200623,aparta estudio
Esparta Sarabia,44731563,casa
Eva Guevara,38194117,apartamento
Marcos Abreu Santillán,27480539,aparta estudio
Iván Nayeli Sepúlveda Menchaca,28567058,apartamento
Lic. Benjamín Solano,92247947,finca
Ing. Elias Nava,34765837,casa
Mateo Daniela Marrero,47737697,apartamento
Judith Villalpando Avilés,13535903,aparta estudio
Estefanía del Río,47280067,casa
Hugo Bernabé Medrano Solorzano,58335312,aparta estudio
Francisco Javier Francisco Estévez Prado,86842485,casa
Eloisa Puente,67055159,apartamento
Ramón Barbara Lucio,97795752,otro
Berta Guerrero Corona,85490183,aparta estudio
Estela Valladares,57484297,apartamento
Gregorio Jasso,97734200,aparta estudio
Abril Figueroa,41293675,finca
Mtro. Arcelia Armas,83389899,aparta estudio
Mauro Aguilera,44009669,apartamento
Blanca Dulce Salgado,20061933,casa
Irene Silvia Prieto,39730054,casa
Gregorio Sara Trejo Miranda,79540527,otro
Ana María Villaseñor,45066117,aparta estudio
Georgina Becerra Pantoja,87185921,casa
Julio César Perla Zambrano Pichardo,84375737,finca
Patricio Mireles Zapata,64767025,casa
Jorge Magaña Ramos,95437824,casa
María Cristina Bustamante,21973357,apartamento
Daniela Vanesa Zayas Berríos,50118118,finca
Anabel Leonel Cornejo Mercado,59654818,finca
Esteban Camilo Toledo Salinas,55179939,apartamento
Frida Serrano Niño,20421117,otro
Reynaldo Jorge Luis Ybarra Salcido,60525465,apartamento
Cynthia Irene Luna,98637913,aparta estudio
Mtro. Susana Henríquez,24598480,apartamento
Lic. Adalberto Gracia,60693935,otro
Diana Ruby Polanco,65552434,aparta estudio
María Eugenia Jesús Villalobos,66652965,otro
Octavio Corona,50199585,otro
Mtro. Cristobal Barrera,57642278,finca
Rubén Isabela Estrada Covarrubias,71464247,casa
Rebeca Emilio Mares Padilla,15581437,apartamento
Leonardo Frida Ocampo,37478356,aparta estudio
Gustavo Segovia,90118050,otro
Alfredo Renato Corrales Escobar,37507852,otro
Blanca Santacruz Urrutia,63320921,casa
Carlos Víctor Escamilla,94332490,finca
Isabel Aldonza Ordóñez,26024516,casa
Lic. Gerardo Rivera,52914671,casa
Dr. Bernabé Tórrez,91176500,casa
Mercedes Peña Zepeda,10839681,aparta estudio
Sr(a). Julia Cano,80664527,casa
Alejandra Cecilia Villalpando,39342478,aparta estudio
Barbara Montez Cabán,22614319,apartamento
José Carlos Elena Elizondo Ponce,21103897,otro
Pascual Lilia Rojas,88532467,finca
Karina Darío Meléndez Toro,37654099,casa
Homero Esmeralda Negrón,79393500,aparta estudio
Josefina Castro Villalpando,82683298,aparta estudio
Mtro. Salvador Franco,21250269,otro
Úrsula Aurora Castañeda,41483384,finca
Abel Miguel Ángel Arreola Perea,86397328,apartamento
Óliver Alfredo Guerra Arteaga,80985711,apartamento
Ramiro Anaya,75816180,finca
Francisco Marisol Villa,28885909,otro
Amelia Dulce María de la Torre,52053543,finca
Aldonza Vásquez Navarro,67669331,aparta estudio
Gloria Cristina Segura Salcido,76894512,otro
Abel Cabán Luna,39420728,aparta estudio
Sr(a). Octavio Gollum,38103994,aparta estudio
María Luisa Juárez,71657209,otro
Lic. Gregorio Limón,83745624,finca
Vicente Rivas,17802650,apartamento
Julio César Perla Ayala,38847240,apartamento
Asunción Sauceda,13238782,finca
Eloy Ayala Negrón,53423586,finca
Mtro. Virginia Irizarry,73957726,otro
Mtro. Amador Salcedo,91609495,casa
Abelardo Alvarado Bustamante,12959833,casa
Irene Eduardo Gastélum Benavídez,87098198,apartamento
Sergio Gaona,33116906,otro
Mauro Liliana Vásquez Oquendo,28042308,finca
Nayeli Leonardo Díaz Ávalos,88767461,apartamento
Arturo Figueroa Rascón,99011009,finca
Sr(a). Ignacio Vera,22874536,casa
Lucas Fuentes Abrego,92318543,finca
Sr(a). Vicente Ontiveros,95588739,apartamento
Nayeli de la Garza,90167469,aparta estudio
Evelio Gerardo Pérez,77811017,apartamento
Genaro Judith Barela Prado,40551131,casa
Rosario Cano,50678419,aparta estudio
Gerónimo Gerardo Riojas,24602390,otro
David Trinidad Covarrubias Collazo,76715410,casa
Vanesa Casas,64192363,aparta estudio
Cristal Santana Villalpando,14119932,apartamento
Mariana Aurelio Sepúlveda,51155235,apartamento
Jacobo Tórrez,21884587,apartamento
Rodolfo José Eduardo Pulido Villagómez,53643507,casa
Mtro. Víctor Pacheco,64083952,finca
Bianca Isabela Montenegro Laureano,10697469,otro
Silvano Darío Arroyo Hernandes,97674178,casa
Karla Anabel Suárez Sanches,94590077,finca
María Luisa Dolores Barreto Anguiano,58712963,apartamento
Olga Aurelio Montes Zamora,49810000,finca
Beatriz Guadalupe de la Garza Meza,98351634,aparta estudio
Itzel Dulce María Figueroa,81508348,apartamento
Teodoro Fonseca Morales,98102468,apartamento
Lic. María Teresa Vázquez,25257881,aparta estudio
Israel Velázquez,27235702,casa
María Aguilera,39406658,apartamento
Mtro. María Luisa Valdez,53305642,otro
Mayte Gastélum,93722359,aparta estudio
Mario Delia Chacón,34578413,finca
Modesto Prieto Jasso,43916495,otro
Ivonne Yeni Chávez,80087660,casa
Estefanía Lucero Madrigal,90516242,finca
Mtro. Lucas Alba,63019871,otro
Dr. Olga Navarro,85503892,casa
Juan Mayorga García,54446573,aparta estudio
Hernán Bueno,61041982,apartamento
Adriana Luis Palomino Riojas,51122927,apartamento
Sr(a). Aurora Ibarra,46336713,otro
Concepción Miranda,25460841,otro
Indira Jerónimo Corral Carvajal,44170220,casa
Ramón Violeta Ávila,35569576,casa
Hermelinda Minerva Sepúlveda Santillán,97994737,otro
Sara Jiménez Jáquez,43068460,apartamento
Estela Elvira Estévez Pacheco,15369406,otro
Sr(a). Liliana Alvarez,97999894,otro
Amador Arenas,90519128,apartamento
Josefina Eloy Madera Urrutia,47708941,apartamento
Mtro. María Calvillo,88812862,aparta estudio
Dr. Gonzalo Villa,83927230,casa
Gregorio Malave Téllez,98255082,apartamento
Silvia Fernando Roque Serrato,81460583,apartamento
Camila Israel Ayala Cavazos,40188509,aparta estudio
Elisa Montero,39652182,casa
Samuel Brito,76310014,otro
Sergio Celia Galarza Reséndez,76060829,otro
Mtro. Maximiliano Tirado,91490464,apartamento
Lic. Ana María Iglesias,38898960,aparta estudio
Alberto Cadena,24396891,casa
Lorenzo Avilés,92841269,apartamento
Francisca Luevano,32141544,aparta estudio
Linda Otero Rodrígez,26295945,finca
Ing. Pablo Mendoza,37729639,apartamento
Trinidad Fabiola Rodrígez Limón,44590865,apartamento
Modesto de la Torre,40883406,otro
Adriana Mitzy Alcala Bahena,96889357,otro
Dr. Dalia Toledo,31049254,finca
Lic. Omar Garrido,59042199,apartamento
Mtro. Marcela Palomo,51922628,aparta estudio
Adán Mariano Cavazos Feliciano,68247106,finca
Sr(a). Luisa Dávila,48921754,finca
Miriam Fuentes Magaña,27289132,finca
Mtro. Horacio Zamora,30362446,aparta estudio
Itzel Macías Carranza,92437202,apartamento
Alfredo Campos,30101227,casa
Alberto Zaragoza,10467118,casa
Mayte Casares Acosta,35873838,finca
Hilda Arcelia Reyes,58852009,casa
Dr. Elias Rocha,38671717,apartamento
Victoria Ana Luisa García,28970726,otro
José María Soliz Varela,78908023,otro
Armando Mendoza,36068619,aparta estudio
Gerardo Karla Jurado Jaimes,76897358,casa
Martha Cristal Tejeda Ceballos,42654991,apartamento
Paola Fierro Haro,85793643,aparta estudio
Mtro. Yeni Amaya,61541734,finca
Linda Emilio Caldera,50648751,aparta estudio
Ing. Ernesto Carreón,65197917,otro
Hugo Ruby Ybarra,83908253,casa
Antonio Ramón Carmona,41445884,finca
Julio Acosta Gurule,49984806,finca
Ignacio Francisco Javier Puga Bonilla,78370122,aparta estudio
Marisela Indira Feliciano,37941684,aparta estudio
Horacio Celia Mendoza,46339756,casa
José Luis Robledo Fierro,64818654,aparta estudio
Roberto Lira Magaña,79371957,aparta estudio
Luis Jesús Barrera Báez,30941269,otro
Gregorio Flavio Pulido Sáenz,80893629,finca
Elvia Abigail Barragán Elizondo,77530970,aparta estudio
José Olvera Bravo,78348740,apartamento
Patricio Reina Armenta Sosa,10047870,otro
Porfirio Marisol Alvarado,18959742,casa
Nadia Patricio Alcala Badillo,83005458,apartamento
Adán Alejandro Armas,57559734,finca
Andrés Toro Merino,99030201,casa
Lic. Luis Manuel Elizondo,72887048,otro
Sessa Ignacio Salinas Castellanos,36240856,otro
Sr(a). Espartaco Osorio,55462762,finca
Víctor María Luisa Oquendo Varela,15554555,casa
Luis Manuel Posada,63176444,otro
Gregorio Esmeralda Leyva Guerrero,33981664,finca
Javier Almanza Laboy,92887001,finca
Lic. Graciela Ordóñez,44110072,finca
Marisela Rivas,66529734,apartamento
Silvano Valentín Domínguez,21743007,finca
Martín Jos Barreto,93213841,apartamento
Celia Julia González,28824753,aparta estudio
María Elena Israel Godoy Olivas,67960858,aparta estudio
Martín Eva Posada,88068776,casa
Eloisa Federico Aguilar,20819720,casa
Jesús Guillermina Posada,75410953,aparta estudio
Esther Carmona,14371790,casa
Gabriel Miguel Ángel González,53016537,otro
Nadia Granado,81860120,aparta estudio
Socorro Barragán,71528605,finca
Luz Berta López,60409446,casa
Gabino José Luis Benavides Valdés,30684178,casa
Abraham Benjamín Mena,46041882,casa
Rubén Regalado,89021193,aparta estudio
Gilberto Ávalos Ávalos,38032059,casa
Cristobal Ruelas Cepeda,99898818,apartamento
Sofía Córdova,43670310,otro
Laura Rosa Barragán,18657026,finca
Eugenia Navarro Menéndez,66306187,finca
Sergio Enrique Olivo Castro,94370518,finca
Norma Luis Chapa,92052132,otro
Indira Reyes,67290630,apartamento
Noemí Treviño,35465210,finca
David Esteban Pacheco,65865652,aparta estudio
Sr(a). Estela Bonilla,18312811,casa
Dr. Esteban Rocha,48272167,aparta estudio
Yeni Saldivar,79910534,apartamento
Ing. Barbara Mares,68450455,casa
Reina Marisol Cisneros,74730596,otro
Ivonne Anel Espinosa de León,64516530,finca
Uriel Jáquez,77185497,casa
Sr(a). Yuridia Roybal,15577885,finca
Sessa Guillermina Gil Hurtado,65038963,otro
Wilfrido de Jesús Baeza,59466983,finca
Lic. Victoria Escalante,96664003,casa
Samuel Gómez Cortés,69598852,casa
Dr. Yolanda Tirado,10641025,aparta estudio
Clemente Rosa Ortega Rosado,45586908,finca
Lic. Reina Olivas,49849199,apartamento
Alicia Borrego Berríos,83175760,casa
Claudia Negrón,16416597,aparta estudio
Ilse Lemus Torres,44697396,otro
Agustín Barreto,42561926,casa
Sr(a). Leticia Batista,23144563,casa
Virginia Mercado Puga,18105379,apartamento
Lic. Gustavo Orellana,31253160,apartamento
Dr. Wendolin Durán,94436330,otro
Irene Barrientos Marrero,70322303,apartamento
Fidel Barela,66711313,casa
Homero Felipe Hernandes,60577378,aparta estudio
Miguel Ángel Rentería,71034840,apartamento
Vicente Mejía,54107041,otro
Ramón de Anda Pedraza,63785996,finca
Luisa Bianca Benítez Covarrubias,70349542,finca
María José Violeta Carranza,52725322,otro
Cristina Rodrigo Montes Uribe,48449494,finca
Leonel Caraballo,75791789,apartamento
Eloy Asunción Preciado Roybal,31078164,aparta estudio
Nicolás Yeni Jaime,23799447,aparta estudio
Olga Ricardo Miramontes,59718776,aparta estudio
Jorge Salvador Alejandro Tamayo,96401603,aparta estudio
Evelio Razo Coronado,66741618,aparta estudio
Ing. Estela Cotto,91924393,apartamento
Eric Otero,56867538,apartamento
Barbara Arellano Rivas,51413849,aparta estudio
Ofelia Nazario,43259733,aparta estudio
Rebeca Sanabria,87160145,apartamento
Wendolin Omar de la Fuente,78508096,casa
Marcos Espino Gurule,78292437,otro
Dr. Cecilia Iglesias,20828054,casa
Jaqueline Santana Amaya,90952407,otro
Natalia Ana Reyes Cardenas,51480158,otro
Víctor Quiñónez Méndez,96438507,aparta estudio
Dulce María Jaimes Jaime,21132752,apartamento
Jesús Tamez Zaragoza,49835714,otro
Clemente Arturo Fierro,45845777,apartamento
Victoria Villaseñor,55421060,casa
José María Arroyo Granados,83000674,apartamento
Sr(a). Estela Chávez,18483373,casa
Susana Eloisa Ozuna,81973974,otro
Gabriel Leonel Calvillo Olivárez,14073843,casa
Conchita Sandra Pichardo,24278075,otro
Bruno Serafín Galindo Gamboa,51472190,finca
Emilio Pantoja Salas,47250623,apartamento
Karina Dulce María Yáñez Gamboa,96746112,otro
Daniel Puente,87583259,casa
Darío Soledad Holguín Villaseñor,71664802,aparta estudio
María Luisa Ana Tejeda,89728532,otro
Tania Ivonne Guardado,97127792,finca
Lic. Conchita Ramos,64244751,otro
Judith Canales Aranda,73211851,aparta estudio
Ofelia Cristina Caballero Alarcón,15385476,aparta estudio
Sr(a). Dulce María Sotelo,17212562,otro
