nombre,edad,ocupacion,estado_civil,nivel_educativo,deudas,incumplimiento,balance,hipotecario,tarjeta_credito,medio_contacto,mes_ultimo_contacto,dia_ultimo_contacto,duracion_ultimo_contacto,contactos_realizados,resultado_ultima_campana,prestamo_personal,identificacion,tipo_vivienda
Dr. Patricio Escobedo,88,admin,divorciado,secundaria,no,si,579669,si,si,celular,dic,12,509,86,exitoso,ninguno,60782194,otro
Liliana Alcala Escobar,71,emprendedor,divorciado,tecnica,no,no,232604,no,no,telefono fijo,abr,26,599,323,inexistente,no,73256072,otro
Elvia Montero,37,desempleado,soltero,tecnica,si,si,648345,si,si,celular,feb,21,28,848,otro,si,98125430,casa
Sr(a). Paola Gollum,84,otro,viudo,universitaria,no,no,216278,no,si,otro,sep,15,493,121,exitoso,si,10041220,finca
Camilo Jonás Estrada Haro,34,estudiante,casado,tecnologia,si,si,583658,no,si,telefono fijo,jun,13,472,878,inexistente,no,19052811,apartamento
Rufino Humberto Hinojosa Cazares,30,otro,soltero,otro,si,no,394478,no,no,celular,abr,10,176,742,fracaso,si,46646568,otro
Nayeli Isabel Montes Olmos,22,gerente,viudo,doctorado,no,no,114766,no,no,telefono fijo,feb,16,677,273,otro,si,26333311,finca
Lic. Martha Flórez,24,independiente,viudo,ninguno,si,si,538286,si,si,celular,nov,13,100,790,inexistente,ninguno,32512784,apartamento
Sr(a). Isabela Serrano,21,gerente,viudo,secundaria,si,si,725394,no,no,telefono fijo,dic,16,267,445,inexistente,si,35287882,otro
Marisela Noelia Miramontes Salas,56,otro,casado,doctorado,no,no,860859,no,si,telefono fijo,dic,14,991,496,otro,no,15056828,aparta estudio
Indira Porfirio Linares Collazo,39,independiente,casado,secundaria,si,no,431167,si,si,telefono fijo,jun,20,825,940,otro,no,66885247,aparta estudio
Mtro. Aida Vanegas,75,gerente,viudo,tecnica,no,no,104103,si,no,telefono fijo,jun,25,815,799,otro,ninguno,18131163,casa
Andrés Laureano Villagómez,53,jubilado,divorciado,universitaria,si,si,856082,no,no,celular,abr,16,627,774,otro,si,32819324,aparta estudio
Adela Alba,78,estudiante,divorciado,doctorado,si,si,742706,si,no,telefono fijo,may,5,674,715,inexistente,si,77564007,finca
Débora Colunga,51,desconocido,viudo,secundaria,no,si,635662,si,no,telefono fijo,may,26,936,744,fracaso,si,20732709,finca
Victoria Arteaga Ayala,62,servicios,soltero,primaria,no,si,302486,si,si,telefono fijo,feb,25,325,17,inexistente,ninguno,12189163,otro
Olga Carranza,78,desempleado,viudo,secundaria,no,no,262056,si,si,telefono fijo,ago,28,719,599,exitoso,no,24849001,casa
Jacobo Adela Serna,30,servicios,viudo,primaria,no,no,821517,no,si,telefono fijo,may,26,16,161,exitoso,si,35452213,aparta estudio
Lic. Guadalupe López,49,técnico,casado,universitaria,si,no,750859,no,si,telefono fijo,jul,17,68,233,exitoso,si,81570047,apartamento
Jaqueline Salcedo,31,independiente,casado,tecnica,si,si,428549,si,no,otro,oct,6,129,183,exitoso,ninguno,16386990,aparta estudio
Ana Mercado Lugo,19,independiente,divorciado,primaria,no,si,40601,no,si,celular,dic,19,187,681,,si,50863605,finca
Andrés Adela Tamayo Olvera,46,obrero,casado,tecnica,si,si,579235,si,si,celular,may,12,273,355,otro,ninguno,20901321,apartamento
Oswaldo Frida Godínez de la Garza,60,estudiante,soltero,ninguno,si,si,900225,no,no,otro,jun,11,892,647,fracaso,ninguno,54675021,apartamento
Dr. Florencia Rangel,77,emprendedor,soltero,tecnica,si,no,398899,si,si,telefono fijo,mar,11,832,324,inexistente,si,73324963,finca
Asunción Arcelia Patiño,74,otro,casado,tecnica,si,no,883270,si,no,otro,jul,5,924,799,inexistente,ninguno,39775548,apartamento
Abelardo Ana María Gastélum,46,técnico,divorciado,doctorado,si,si,488749,si,no,otro,feb,24,731,674,fracaso,ninguno,50872302,casa
Marcela Rosario Soria,66,obrero,divorciado,universitaria,si,no,780939,si,si,celular,jul,15,562,505,fracaso,si,51043995,aparta estudio
Violeta Ana Pizarro Rodrígez,55,obrero,casado,doctorado,no,no,569426,no,no,telefono fijo,jul,5,721,881,fracaso,no,48040111,casa
Irma Parra de la Rosa,48,emprendedor,divorciado,ninguno,si,si,736700,si,no,telefono fijo,jun,12,163,592,exitoso,no,22967669,finca
Agustín Cecilia Rosas,23,desempleado,divorciado,otro,no,no,314297,no,si,otro,oct,16,86,690,exitoso,si,93230689,finca
Eugenio Villarreal Vaca,18,otro,divorciado,primaria,no,no,113165,no,si,telefono fijo,ene,31,471,602,,no,29224071,otro
Felix Nayeli Velásquez,76,estudiante,divorciado,otro,si,si,381869,si,no,telefono fijo,ene,21,896,82,inexistente,ninguno,67592087,otro
José Eduardo Galindo Mares,71,emprendedor,viudo,maestria,no,no,587360,si,no,telefono fijo,dic,9,726,136,exitoso,no,94553590,finca
Manuel Liliana Gil,54,admin,casado,tecnica,si,no,861210,si,no,celular,jun,1,585,959,inexistente,no,95038214,casa
Hermelinda Verduzco Casanova,59,técnico,divorciado,otro,no,no,3863,si,si,otro,nov,19,356,56,exitoso,no,23689573,otro
Nicolás Palomo,77,independiente,casado,otro,no,no,295071,si,si,celular,feb,27,359,46,fracaso,si,28559949,casa
Alberto Linda Centeno,84,estudiante,casado,doctorado,no,si,770007,si,si,otro,sep,25,660,562,exitoso,si,69102435,otro
Ing. Bruno Zamora,86,admin,casado,tecnologia,no,no,768149,si,no,telefono fijo,dic,2,851,659,inexistente,no,98361743,otro
Raúl Gilberto Tello Colunga,79,técnico,casado,posgrado,si,no,277914,si,si,celular,dic,1,15,823,otro,ninguno,82137391,finca
María Cristina Nieto Amaya,82,admin,soltero,primaria,no,no,959316,no,si,otro,feb,31,802,715,inexistente,si,80683069,apartamento
Paola Germán Cisneros,54,desconocido,casado,tecnica,si,no,337297,si,no,celular,mar,7,753,897,otro,si,47094008,finca
Anel Madrigal Pabón,60,jubilado,soltero,secundaria,si,no,998957,no,no,celular,abr,8,559,561,inexistente,no,99520249,casa
René Mariano Salcido Segura,56,emprendedor,divorciado,doctorado,si,si,239745,no,no,celular,sep,16,881,352,inexistente,si,95093144,apartamento
Blanca Carrión Toro,27,desempleado,viudo,primaria,si,no,626104,si,si,celular,dic,21,236,201,exitoso,ninguno,76262325,otro
Hermelinda Verónica Sisneros,26,técnico,viudo,tecnica,no,no,530254,si,si,telefono fijo,feb,2,613,970,fracaso,no,19074466,aparta estudio
Laura Godínez Feliciano,40,técnico,soltero,tecnica,si,si,681147,si,si,otro,ago,15,84,25,fracaso,si,50578013,casa
Ing. Hugo Casárez,64,desconocido,viudo,ninguno,no,no,557667,si,si,celular,mar,6,5,677,fracaso,si,52605190,aparta estudio
Alta  Gracia Camila Laboy,49,admin,viudo,maestria,no,si,742297,si,no,telefono fijo,may,6,797,535,fracaso,si,95710367,otro
Francisca Aldo Arevalo Sisneros,42,desconocido,viudo,doctorado,si,si,306061,no,no,otro,abr,2,202,90,fracaso,no,41103492,finca
Dr. Rolando Tejada,29,estudiante,casado,ninguno,si,no,44654,si,no,celular,jul,26,271,78,fracaso,ninguno,43489581,apartamento
Mateo Cristian Patiño Pedroza,19,otro,soltero,maestria,si,si,73625,no,no,telefono fijo,sep,2,678,377,exitoso,si,18576999,apartamento
Vicente Tovar,72,desempleado,soltero,tecnologia,si,no,188744,si,no,telefono fijo,dic,11,239,717,fracaso,ninguno,14081215,otro
Julia Jacinto Bahena,41,independiente,viudo,posgrado,no,no,814560,no,no,celular,jun,12,685,25,inexistente,ninguno,74568804,aparta estudio
Esteban Leticia Sevilla,57,independiente,divorciado,universitaria,no,si,369388,no,no,otro,feb,30,693,565,exitoso,si,83457906,casa
Linda Yolanda Moreno,42,desempleado,soltero,universitaria,si,no,148396,si,si,otro,sep,23,168,187,otro,ninguno,81836670,apartamento
Bruno Sofía Montez,62,emprendedor,soltero,primaria,si,si,79005,no,no,celular,abr,14,19,288,otro,no,70016006,casa
Sessa Reyna Delgadillo,78,servicios,divorciado,doctorado,no,si,724858,no,si,otro,oct,30,304,346,otro,si,34402496,aparta estudio
Olga Ramón Garza Medina,26,técnico,divorciado,otro,si,si,918246,si,si,otro,mar,24,990,753,otro,no,86741429,casa
Esperanza Conchita Sandoval Salinas,18,otro,soltero,primaria,no,no,186050,no,si,otro,mar,21,269,788,fracaso,si,90391347,otro
Serafín Ana Nevárez Romo,73,servicios,soltero,otro,no,si,270471,si,no,telefono fijo,abr,14,710,134,fracaso,ninguno,84571865,finca
Lic. Modesto Galarza,83,independiente,divorciado,primaria,si,si,610444,si,si,otro,dic,29,256,824,inexistente,ninguno,71057296,apartamento
Fidel Vázquez Oquendo,19,independiente,divorciado,primaria,si,si,841406,no,si,telefono fijo,jun,15,258,843,fracaso,no,77431601,apartamento
Angélica Zamudio,35,gerente,casado,ninguno,si,si,97204,si,si,celular,jul,13,260,110,inexistente,si,48416885,apartamento
Olivia Aldonza Gamez Rodríquez,21,técnico,soltero,secundaria,no,no,685550,si,no,otro,jul,4,233,949,inexistente,no,73150690,aparta estudio
Sonia Ferrer Chávez,83,desconocido,casado,secundaria,si,no,279754,si,si,otro,dic,26,125,62,otro,ninguno,87274019,casa
Timoteo Burgos Vanegas,48,jubilado,divorciado,otro,si,no,680344,no,no,celular,abr,1,415,9,fracaso,ninguno,14217238,aparta estudio
Karina Jorge Malave Rosas,84,independiente,casado,otro,no,no,443058,no,no,telefono fijo,may,6,948,875,fracaso,si,73131868,finca
Adriana Cruz Covarrubias,24,servicios,viudo,ninguno,no,si,79796,no,si,telefono fijo,dic,26,676,504,otro,ninguno,78992525,otro
Ricardo Rebeca Garibay Alcala,70,emprendedor,soltero,posgrado,no,no,737921,si,no,celular,ene,21,415,597,inexistente,si,31837136,apartamento
Mauricio Clemente Portillo Arellano,46,obrero,casado,doctorado,no,si,414943,si,no,celular,sep,13,804,426,fracaso,si,94714275,aparta estudio
Aldonza Antonia Jurado Rivero,87,emprendedor,viudo,ninguno,si,no,78969,si,si,celular,dic,29,120,384,fracaso,si,14536425,apartamento
Lic. Marcela Quezada,56,gerente,soltero,primaria,si,si,381631,si,no,telefono fijo,nov,26,411,735,otro,si,36115873,casa
Anel Débora Vaca Mondragón,32,técnico,viudo,maestria,si,si,428945,no,no,otro,feb,10,298,492,otro,no,41244513,apartamento
Elsa Wilfrido Sánchez Puente,20,gerente,viudo,primaria,no,si,144109,no,si,otro,may,5,635,1000,fracaso,si,13880408,otro
Darío Guillermina Ayala Amador,68,servicios,divorciado,tecnica,si,no,355347,no,no,celular,nov,1,121,260,otro,ninguno,56993804,otro
Julia Nelly Páez,84,estudiante,soltero,secundaria,si,si,890509,si,no,otro,dic,26,603,828,fracaso,ninguno,43730936,otro
Guillermo Augusto Delgado Gallardo,40,servicios,divorciado,secundaria,no,si,460747,si,si,telefono fijo,nov,27,257,33,otro,no,65083987,apartamento
Cristal Fidel Muro,54,jubilado,casado,primaria,si,si,240887,no,no,otro,mar,27,715,202,fracaso,ninguno,98352933,finca
Esperanza Malave,81,desconocido,soltero,universitaria,si,si,856170,no,no,telefono fijo,sep,28,392,244,inexistente,no,96155912,apartamento
Armando Araceli Sarabia Alejandro,78,obrero,divorciado,tecnica,si,si,744723,no,si,celular,mar,30,512,409,inexistente,ninguno,94494328,apartamento
Antonio Andrea Chávez,60,técnico,soltero,posgrado,si,no,88387,no,si,telefono fijo,may,27,787,341,otro,si,79897245,apartamento
Alvaro Sanabria Roybal,73,desempleado,divorciado,primaria,si,no,591356,no,no,otro,dic,11,526,129,otro,si,27409934,casa
Cornelio Andrea Roybal Carrasco,26,servicios,viudo,tecnologia,si,no,370683,no,no,celular,oct,30,535,942,otro,no,91293771,casa
Dulce María Bustamante Mateo,24,servicios,casado,doctorado,si,no,657416,si,si,otro,feb,11,373,967,fracaso,si,73645835,otro
Bianca Olga Rocha,50,jubilado,divorciado,universitaria,si,si,12712,no,si,celular,dic,28,743,473,exitoso,si,34036119,apartamento
Delia Horacio Corrales Zedillo,77,obrero,soltero,ninguno,no,no,477677,no,si,celular,abr,24,869,456,otro,ninguno,84003407,aparta estudio
Alvaro Blanca Barrera,38,admin,casado,secundaria,no,si,638760,no,si,telefono fijo,jun,11,788,483,exitoso,si,26130532,finca
Cecilia Aguirre Núñez,60,independiente,casado,otro,si,no,132153,no,no,otro,jul,25,645,834,,no,31339782,aparta estudio
Camilo Badillo Guillen,19,servicios,viudo,primaria,no,si,49484,si,si,telefono fijo,jul,2,343,75,otro,si,61369749,finca
Ana Luisa Ocasio,58,gerente,divorciado,doctorado,no,no,651324,no,no,telefono fijo,may,22,900,935,fracaso,ninguno,74519676,otro
Mtro. Alfonso Gonzales,61,jubilado,viudo,ninguno,no,si,157371,no,no,otro,dic,31,451,896,otro,no,51123656,otro
David Corrales,29,estudiante,viudo,universitaria,no,no,745906,si,si,telefono fijo,sep,11,492,891,fracaso,ninguno,61970736,apartamento
Berta Lucas Tamayo Navarrete,75,desempleado,divorciado,secundaria,si,si,884700,no,si,otro,dic,2,890,10,inexistente,si,16211947,aparta estudio
María Aguilera Maldonado,74,gerente,viudo,otro,si,no,445958,no,si,otro,sep,12,852,805,fracaso,no,48277592,aparta estudio
Mtro. Graciela Hurtado,55,otro,soltero,universitaria,no,no,66771,no,no,celular,mar,27,56,804,fracaso,si,97789469,otro
Juan Ruby Campos,33,obrero,soltero,secundaria,no,no,541618,si,si,telefono fijo,nov,2,707,961,otro,ninguno,70441506,apartamento
Ramiro Moya Villa,34,otro,viudo,secundaria,si,no,30904,no,si,celular,jul,20,879,418,fracaso,no,18866844,finca
Sr(a). Abraham Alba,65,gerente,divorciado,tecnica,no,no,792090,si,si,otro,ago,18,542,60,exitoso,no,73515252,casa
Mateo Espinal Matías,67,emprendedor,viudo,otro,no,si,945874,si,no,celular,dic,2,865,994,,si,23053600,aparta estudio
Linda Patiño Esquibel,56,admin,soltero,tecnica,si,no,150410,no,no,otro,jul,11,321,181,fracaso,si,51476144,apartamento
Carlota Lebrón Cedillo,63,estudiante,soltero,ninguno,si,si,620014,no,si,telefono fijo,may,17,58,483,fracaso,no,98702977,otro
Mayte Espinoza,67,gerente,viudo,secundaria,no,si,853106,si,si,celular,mar,18,653,343,otro,si,26193887,casa
Mayte Espinoza,67,gerente,viudo,secundaria,no,si,853106,si,si,celular,mar,18,653,343,otro,si,74991067,finca
Mercedes Uriel Pantoja,37,independiente,casado,secundaria,si,si,526164,no,si,otro,jun,21,918,771,inexistente,no,46699098,aparta estudio
Rebeca Matías Ayala,36,otro,soltero,primaria,no,no,505118,si,si,celular,jul,24,166,493,,no,76917607,apartamento
María Eugenia Pedroza Castillo,58,obrero,viudo,doctorado,si,si,704925,no,no,otro,mar,30,421,842,exitoso,no,83171124,aparta estudio
Gabriel Asunción Soto Ureña,50,admin,divorciado,doctorado,si,si,116031,no,si,telefono fijo,nov,13,380,318,exitoso,no,53455672,finca
Oswaldo Valencia Aguilar,83,jubilado,viudo,otro,si,si,852925,si,si,otro,nov,12,3,529,fracaso,si,71491521,aparta estudio
Indira Zayas Arriaga,60,estudiante,divorciado,primaria,no,si,428555,si,si,celular,may,30,836,564,exitoso,no,96351292,finca
Benito Guadalupe Vázquez,68,desempleado,divorciado,doctorado,no,si,997294,no,no,telefono fijo,ene,30,184,769,exitoso,si,93388754,finca
Dr. Florencia Briseño,69,obrero,casado,tecnologia,si,no,988674,si,si,celular,dic,28,135,645,fracaso,ninguno,19125378,apartamento
Ofelia Navarrete,48,técnico,soltero,primaria,no,no,355916,no,no,celular,ene,8,29,990,fracaso,no,65775326,aparta estudio
Anabel Víctor Tovar Grijalva,26,técnico,divorciado,posgrado,si,si,146589,si,si,celular,dic,11,81,809,exitoso,si,51089034,otro
Soledad Montalvo Salazar,86,emprendedor,soltero,otro,si,si,708222,si,si,celular,nov,28,677,97,exitoso,no,43860536,casa
Reina Robledo Cervántez,32,desconocido,viudo,doctorado,si,no,43012,si,si,otro,nov,21,509,682,exitoso,ninguno,90775276,aparta estudio
Humberto Loera,41,emprendedor,viudo,universitaria,si,si,325412,si,si,celular,abr,23,842,895,otro,ninguno,23292028,finca
Georgina Muñiz,48,emprendedor,viudo,otro,si,si,906596,no,no,otro,feb,16,183,261,inexistente,no,91344626,finca
Adán Augusto Mercado,75,jubilado,casado,tecnologia,no,si,274261,si,no,telefono fijo,mar,16,343,186,inexistente,si,12327900,casa
Carmen Enrique Montenegro de Jesús,59,otro,divorciado,otro,si,si,816453,no,no,telefono fijo,sep,13,138,183,otro,no,96433303,finca
Juan Quintana,21,estudiante,divorciado,primaria,no,no,446918,si,no,telefono fijo,nov,21,667,482,inexistente,no,29758410,otro
Ofelia Estela Fierro,31,otro,soltero,universitaria,si,si,687542,si,si,celular,sep,15,20,675,otro,si,43158672,casa
Rosalia Alba,32,otro,divorciado,otro,no,no,431429,si,no,telefono fijo,may,15,220,118,otro,no,67548779,finca
Camila Rolando de León,24,estudiante,divorciado,universitaria,si,no,777643,no,no,celular,oct,19,702,247,fracaso,no,33436981,casa
Homero Adalberto Casárez Ávalos,34,otro,divorciado,doctorado,no,no,545987,si,si,celular,abr,6,722,303,otro,ninguno,55812882,aparta estudio
Blanca Montoya Suárez,64,emprendedor,divorciado,universitaria,no,si,270087,si,si,telefono fijo,sep,14,251,981,exitoso,no,91061357,aparta estudio
Vanesa César Olivas,70,estudiante,casado,primaria,no,no,844689,si,no,otro,jun,9,74,818,,ninguno,59483924,otro
Juan María Elena Sáenz,28,estudiante,viudo,tecnica,si,no,791834,si,no,otro,may,13,312,461,inexistente,si,18566420,casa
Roberto Teresa Balderas Arellano,82,desconocido,casado,universitaria,si,no,204320,si,si,otro,sep,6,426,223,inexistente,no,28472055,aparta estudio
Tomás Benavides,18,servicios,viudo,tecnica,si,si,940962,no,no,telefono fijo,abr,26,403,496,fracaso,no,90450162,otro
Lic. Óliver de la Garza,80,emprendedor,viudo,primaria,no,no,764192,no,si,otro,ene,7,167,814,inexistente,ninguno,81496951,otro
Daniela Arturo Orta,83,desconocido,divorciado,doctorado,no,no,45524,no,no,otro,nov,6,655,698,exitoso,si,11745616,finca
Ing. Daniel Laboy,31,servicios,soltero,tecnica,si,no,180079,no,no,celular,ene,25,326,573,fracaso,ninguno,63843468,apartamento
Gerónimo Olvera,38,servicios,divorciado,primaria,si,no,163527,si,si,celular,sep,5,58,4,otro,ninguno,13853238,aparta estudio
Concepción Jacobo Franco,55,desconocido,divorciado,tecnologia,si,si,574749,no,no,telefono fijo,oct,15,466,222,inexistente,no,40798067,finca
Sr(a). Linda Covarrubias,32,obrero,soltero,tecnica,no,si,657619,no,si,celular,oct,8,931,813,inexistente,ninguno,89687621,apartamento
Florencia Aparicio Caballero,87,desempleado,casado,universitaria,no,si,84005,si,si,otro,feb,22,30,60,inexistente,si,85539972,finca
Ing. Hugo Páez,39,servicios,casado,posgrado,si,si,666286,no,no,celular,ago,28,78,74,inexistente,si,54283060,apartamento
Jonás Lira Flores,30,emprendedor,viudo,tecnologia,si,si,940841,si,si,telefono fijo,jul,2,140,302,otro,no,50148994,apartamento
Ing. Alta  Gracia Montañez,71,obrero,divorciado,universitaria,si,no,645102,si,si,celular,abr,11,697,215,inexistente,si,17036597,casa
Perla María Cristina Santana,87,desconocido,soltero,secundaria,si,no,573780,no,si,otro,may,13,982,502,otro,no,82370397,casa
Mtro. Abraham Reséndez,37,estudiante,viudo,secundaria,no,si,196938,si,si,telefono fijo,abr,3,685,191,inexistente,si,38696875,apartamento
Mtro. Óscar Valdez,57,emprendedor,divorciado,otro,no,no,882304,si,no,celular,jul,11,152,569,otro,ninguno,25839499,casa
Dulce José Verduzco,37,independiente,divorciado,otro,no,si,945977,no,no,otro,sep,11,183,884,otro,no,88036215,apartamento
Mayte Jimínez Villa,34,admin,viudo,ninguno,no,no,366015,no,si,celular,mar,6,17,645,fracaso,ninguno,40479845,otro
Sr(a). Raquel Sandoval,61,desconocido,soltero,primaria,si,no,860747,si,no,telefono fijo,feb,6,853,981,fracaso,ninguno,81478696,finca
Barbara Puga Rodríguez,72,servicios,casado,tecnica,no,si,253338,si,no,otro,dic,6,974,26,exitoso,no,91030418,aparta estudio
Timoteo Flores,26,independiente,viudo,primaria,no,no,889406,si,si,telefono fijo,jul,11,667,89,fracaso,si,99926124,otro
Julia Sierra,27,jubilado,viudo,universitaria,no,no,657552,no,si,celular,ene,24,720,407,fracaso,si,69547143,apartamento
Sr(a). José María Jiménez,79,desconocido,soltero,doctorado,si,no,944095,si,no,otro,nov,26,337,456,otro,ninguno,70689438,finca
Julio César Julia Hernández Mora,49,desconocido,divorciado,posgrado,si,no,696665,si,no,otro,mar,5,999,512,inexistente,si,86599934,aparta estudio
Cristobal Munguía Gonzales,21,admin,casado,tecnica,si,si,194996,si,si,celular,abr,30,247,993,fracaso,no,66965512,apartamento
Celia Alejandro Zepeda Narváez,19,servicios,soltero,maestria,no,no,71596,si,si,otro,sep,21,412,778,,no,60207901,apartamento
Yuridia María Yáñez,83,obrero,casado,primaria,no,no,808169,no,si,celular,jun,22,910,169,otro,si,56250757,otro
Salma Andrés Vallejo,53,otro,divorciado,maestria,no,no,406942,no,si,telefono fijo,ago,21,906,516,exitoso,no,52536652,finca
Esther Medrano,46,estudiante,soltero,tecnica,no,si,709325,no,si,telefono fijo,may,19,831,279,inexistente,ninguno,33215542,aparta estudio
Amador Isaac García,45,independiente,divorciado,ninguno,si,no,329627,si,no,celular,sep,18,210,731,inexistente,si,24137403,apartamento
Jacobo Dueñas Burgos,69,estudiante,viudo,otro,no,no,652687,si,no,telefono fijo,may,10,309,458,exitoso,no,89233947,otro
César Teresa Campos Molina,41,otro,casado,ninguno,si,si,159829,no,si,celular,ene,10,918,884,fracaso,ninguno,22423312,apartamento
Eduardo Samuel Armenta,66,técnico,viudo,secundaria,si,no,779797,si,si,otro,jun,22,212,462,fracaso,ninguno,85474822,aparta estudio
Ivonne Amelia Báez,81,admin,viudo,doctorado,no,si,883025,no,si,otro,ene,13,977,652,,ninguno,67177587,casa
Felipe Badillo,77,desconocido,casado,otro,no,no,429749,si,no,telefono fijo,sep,21,680,833,fracaso,ninguno,44491424,finca
Evelio Elias Sauceda,76,técnico,soltero,universitaria,si,no,70817,no,no,otro,feb,25,120,623,otro,ninguno,34010810,otro
Maximiliano Luis Vigil Alcaraz,70,obrero,soltero,otro,no,no,205155,no,si,otro,jun,1,612,399,inexistente,ninguno,80573489,aparta estudio
Eugenia Gilberto Arriaga,27,desempleado,divorciado,tecnologia,no,si,560588,si,si,telefono fijo,oct,11,224,9,otro,no,25381021,finca
Ing. Eva Matías,68,servicios,viudo,otro,si,si,866814,si,si,celular,sep,26,562,127,otro,ninguno,18917816,otro
Dr. Elsa Quintero,37,emprendedor,viudo,ninguno,si,si,806833,si,no,telefono fijo,jun,3,816,189,inexistente,ninguno,72161814,apartamento
Guillermina Lilia Granados,68,estudiante,divorciado,primaria,si,no,707011,si,si,telefono fijo,nov,19,971,456,exitoso,no,32412602,finca
