nombre,edad,ocupacion,estado_civil,nivel_educativo,deudas,incumplimiento,balance,hipotecario,tarjeta_credito,medio_contacto,mes_ultimo_contacto,dia_ultimo_contacto,duracion_ultimo_contacto,contactos_realizados,resultado_ultima_campana,prestamo_personal
Sr(a). Mariana Téllez,68,servicios,soltero,otro,no,no,968448,si,si,telefono fijo,dic,22,186,866,fracaso,si
Florencia Karina Quiroz Ontiveros,500,servicios,divorciado,ninguno,no,si,600911,si,no,otro,feb,31,866,475,,ninguno
Olivia Campos,93,gerente,divorciado,otro,si,no,445963,si,no,celular,may,28,289,951,exitoso,ninguno
Georgina Piña,39,técnico,soltero,posgrado,si,no,744146,si,si,telefono fijo,sep,13,961,286,,si
Mtro. Renato Camarillo,25,jubilado,divorciado,posgrado,si,no,282528,si,no,telefono fijo,feb,18,695,888,fracaso,si
Mtro. Claudia Alejandro,600,,viudo,secundaria,si,no,471104,no,si,telefono fijo,oct,20,793,121,inexistente,ninguno
Guadalupe Elena Hernández,79,,soltero,doctorado,si,no,291076,si,si,,ago,22,79,341,fracaso,no
Blanca Antonio Mendoza,52,,casado,,no,no,359897,si,no,celular,dic,1,917,15,inexistente,no
Dr. Verónica Valles,55,jubilado,viudo,tecnologia,si,si,852974,no,si,telefono fijo,sep,18,892,507,fracaso,no
Dr. Patricio Escobedo,88,admin,divorciado,,no,si,579669,si,si,celular,dic,12,509,86,exitoso,ninguno
Liliana Alcala Escobar,100,emprendedor,divorciado,tecnica,no,no,232604,no,no,telefono fijo,abr,26,599,323,inexistente,no
Elvia Montero,37,desempleado,divorciado,tecnica,si,si,648345,si,si,celular,feb,21,28,848,otro,si
Sr(a). Paola Gollum,99,otro,viudo,maestria,no,no,216278,no,si,otro,sep,15,493,121,exitoso,si
Camilo Jonás Estrada Haro,34,estudiante,divorciado,,si,si,583658,no,si,,jun,13,472,878,inexistente,no
Rufino Humberto Hinojosa Cazares,30,otro,soltero,otro,si,no,394478,no,no,celular,abr,10,176,742,fracaso,si
Nayeli Isabel Montes Olmos,22,gerente,viudo,doctorado,no,no,114766,no,no,,feb,16,677,273,otro,si
Lic. Martha Flórez,24,independiente,viudo,,si,si,538286,si,si,celular,nov,13,100,790,inexistente,ninguno
Sr(a). Isabela Serrano,21,gerente,divorciado,secundaria,si,si,725394,no,no,telefono fijo,dic,16,267,445,inexistente,si
Marisela Noelia Miramontes Salas,56,otro,divorciado,doctorado,no,no,860859,no,si,telefono fijo,dic,14,991,496,otro,no
Indira Porfirio Linares Collazo,39,independiente,viudo,secundaria,si,no,431167,si,si,telefono fijo,jun,20,825,940,otro,no
Mtro. Aida Vanegas,75,,viudo,tecnica,no,no,104103,si,no,telefono fijo,jun,25,815,799,otro,ninguno
Andrés Laureano Villagómez,95,jubilado,viudo,universitaria,si,si,856082,no,no,celular,abr,16,627,774,otro,si
Adela Alba,78,estudiante,casado,doctorado,si,si,742706,si,no,,may,5,674,715,inexistente,si
Débora Colunga,600,desconocido,divorciado,secundaria,no,si,635662,si,no,,may,26,936,744,fracaso,si
Victoria Arteaga Ayala,62,,divorciado,primaria,no,si,302486,si,si,telefono fijo,feb,25,325,17,,ninguno
Olga Carranza,78,desempleado,viudo,secundaria,no,no,262056,si,si,telefono fijo,ago,28,719,599,exitoso,no
Jacobo Adela Serna,30,servicios,viudo,primaria,no,no,821517,no,si,telefono fijo,may,26,16,161,,si
Lic. Guadalupe López,49,técnico,casado,tecnologia,si,no,750859,no,si,telefono fijo,jul,17,68,233,exitoso,si
Jaqueline Salcedo,31,independiente,casado,tecnica,si,si,428549,si,no,otro,oct,6,129,183,,ninguno
Ana Mercado Lugo,300,independiente,soltero,primaria,no,si,40601,no,si,celular,dic,19,187,681,,si
Andrés Adela Tamayo Olvera,46,obrero,divorciado,,si,si,579235,si,si,celular,may,12,273,355,otro,ninguno
Oswaldo Frida Godínez de la Garza,60,estudiante,divorciado,ninguno,si,si,900225,no,no,otro,jun,11,892,647,fracaso,ninguno
Dr. Florencia Rangel,77,emprendedor,casado,tecnica,si,no,398899,si,si,,mar,11,832,324,inexistente,si
Asunción Arcelia Patiño,74,otro,viudo,tecnica,si,no,883270,si,no,otro,jul,5,924,799,inexistente,ninguno
Abelardo Ana María Gastélum,250,técnico,viudo,doctorado,si,si,488749,si,no,otro,feb,24,731,674,fracaso,ninguno
Marcela Rosario Soria,66,obrero,divorciado,universitaria,si,no,780939,si,si,,jul,15,562,505,fracaso,si
Violeta Ana Pizarro Rodrígez,55,obrero,casado,doctorado,no,no,569426,no,no,telefono fijo,jul,5,721,881,fracaso,no
Irma Parra de la Rosa,48,emprendedor,divorciado,tecnologia,si,si,736700,si,no,,jun,12,163,592,,no
Agustín Cecilia Rosas,23,jubilado,divorciado,otro,no,no,314297,no,si,,oct,16,86,690,,si
Eugenio Villarreal Vaca,18,otro,divorciado,primaria,no,no,113165,no,si,telefono fijo,ene,31,471,602,,no
Felix Nayeli Velásquez,400,,casado,otro,si,si,381869,si,no,telefono fijo,ene,21,896,82,,ninguno
José Eduardo Galindo Mares,71,emprendedor,viudo,maestria,no,no,587360,si,no,telefono fijo,dic,9,726,136,exitoso,no
Manuel Liliana Gil,54,admin,casado,tecnica,si,no,861210,si,no,celular,jun,1,585,959,inexistente,no
Hermelinda Verduzco Casanova,59,técnico,divorciado,tecnologia,no,no,3863,si,si,otro,nov,19,356,56,,no
Nicolás Palomo,77,independiente,viudo,,no,no,295071,si,si,celular,feb,27,359,46,fracaso,si
Alberto Linda Centeno,500,,viudo,,no,si,770007,si,si,otro,sep,25,660,562,exitoso,si
Ing. Bruno Zamora,86,admin,soltero,,no,no,768149,si,no,,dic,2,851,659,inexistente,no
Raúl Gilberto Tello Colunga,79,técnico,soltero,posgrado,si,no,277914,si,si,celular,dic,1,15,823,otro,ninguno
María Cristina Nieto Amaya,82,admin,soltero,primaria,no,no,959316,no,si,otro,feb,31,802,715,inexistente,si
Paola Germán Cisneros,500,desconocido,viudo,posgrado,si,no,337297,si,no,celular,mar,7,753,897,otro,si
Anel Madrigal Pabón,60,jubilado,casado,secundaria,si,no,998957,no,no,celular,abr,8,559,561,inexistente,no
René Mariano Salcido Segura,56,emprendedor,divorciado,doctorado,si,si,239745,no,no,celular,sep,16,881,352,inexistente,si
Blanca Carrión Toro,27,desempleado,viudo,primaria,si,no,626104,si,si,,dic,21,236,201,exitoso,ninguno
Hermelinda Verónica Sisneros,26,técnico,viudo,tecnica,no,no,530254,si,si,telefono fijo,feb,2,613,970,fracaso,no
Laura Godínez Feliciano,40,técnico,soltero,tecnica,si,si,681147,si,si,otro,ago,15,84,25,fracaso,si
Ing. Hugo Casárez,64,desconocido,viudo,,no,no,557667,si,si,celular,mar,6,5,677,fracaso,si
Alta  Gracia Camila Laboy,95,admin,viudo,,no,si,742297,si,no,telefono fijo,may,6,797,535,fracaso,si
Francisca Aldo Arevalo Sisneros,42,desconocido,viudo,doctorado,si,si,306061,no,no,,abr,2,202,90,fracaso,no
Dr. Rolando Tejada,250,,casado,ninguno,si,no,44654,si,no,,jul,26,271,78,fracaso,ninguno
Mateo Cristian Patiño Pedroza,19,otro,divorciado,tecnologia,si,si,73625,no,no,telefono fijo,sep,2,678,377,exitoso,si
Vicente Tovar,72,desempleado,viudo,tecnologia,si,no,188744,si,no,,dic,11,239,717,fracaso,ninguno
Julia Jacinto Bahena,41,independiente,viudo,posgrado,no,no,814560,no,no,celular,jun,12,685,25,inexistente,ninguno
Esteban Leticia Sevilla,57,,soltero,universitaria,no,si,369388,no,no,otro,feb,30,693,565,exitoso,si
Linda Yolanda Moreno,42,desempleado,soltero,universitaria,si,no,148396,si,si,otro,sep,23,168,187,otro,ninguno
Bruno Sofía Montez,62,emprendedor,viudo,primaria,si,si,79005,no,no,celular,abr,14,19,288,otro,no
Sessa Reyna Delgadillo,700,servicios,divorciado,doctorado,no,si,724858,no,si,otro,oct,30,304,346,otro,si
Olga Ramón Garza Medina,26,técnico,casado,otro,si,si,918246,si,si,otro,mar,24,990,753,otro,no
Esperanza Conchita Sandoval Salinas,700,otro,casado,primaria,no,no,186050,no,si,otro,mar,21,269,788,fracaso,si
Serafín Ana Nevárez Romo,73,servicios,soltero,otro,no,si,270471,si,no,telefono fijo,abr,14,710,134,fracaso,ninguno
Lic. Modesto Galarza,83,independiente,soltero,primaria,si,si,610444,si,si,otro,dic,29,256,824,,ninguno
Fidel Vázquez Oquendo,19,independiente,divorciado,posgrado,si,si,841406,no,si,telefono fijo,jun,15,258,843,fracaso,no
Angélica Zamudio,35,gerente,casado,ninguno,si,si,97204,si,si,celular,jul,13,260,110,inexistente,si
Olivia Aldonza Gamez Rodríquez,21,técnico,casado,secundaria,no,no,685550,si,no,otro,jul,4,233,949,inexistente,no
Sonia Ferrer Chávez,83,desconocido,soltero,secundaria,si,no,279754,si,si,otro,dic,26,125,62,otro,ninguno
Timoteo Burgos Vanegas,48,jubilado,divorciado,otro,si,no,680344,no,no,,abr,1,415,9,,ninguno
Karina Jorge Malave Rosas,84,independiente,divorciado,otro,no,no,443058,no,no,telefono fijo,may,6,948,875,fracaso,si
Adriana Cruz Covarrubias,24,servicios,soltero,ninguno,no,si,79796,no,si,telefono fijo,dic,26,676,504,otro,ninguno
Ricardo Rebeca Garibay Alcala,70,emprendedor,viudo,posgrado,no,no,737921,si,no,celular,ene,21,415,597,inexistente,si
Mauricio Clemente Portillo Arellano,46,obrero,soltero,doctorado,no,si,414943,si,no,,sep,13,804,426,fracaso,si
Aldonza Antonia Jurado Rivero,87,emprendedor,viudo,maestria,si,no,78969,si,si,celular,dic,29,120,384,,si
Lic. Marcela Quezada,56,gerente,casado,primaria,si,si,381631,si,no,telefono fijo,nov,26,411,735,otro,si
Anel Débora Vaca Mondragón,32,jubilado,divorciado,,si,si,428945,no,no,otro,feb,10,298,492,otro,no
Elsa Wilfrido Sánchez Puente,20,gerente,viudo,tecnologia,no,si,144109,no,si,otro,may,5,635,1000,fracaso,si
Darío Guillermina Ayala Amador,68,servicios,viudo,posgrado,si,no,355347,no,no,,nov,1,121,260,otro,ninguno
Julia Nelly Páez,84,estudiante,casado,secundaria,si,si,890509,si,no,otro,dic,26,603,828,fracaso,ninguno
Guillermo Augusto Delgado Gallardo,40,servicios,viudo,maestria,no,si,460747,si,si,telefono fijo,nov,27,257,33,otro,no
Cristal Fidel Muro,54,jubilado,casado,primaria,si,si,240887,no,no,otro,mar,27,715,202,fracaso,ninguno
Esperanza Malave,81,desconocido,soltero,universitaria,si,si,856170,no,no,telefono fijo,sep,28,392,244,,no
Armando Araceli Sarabia Alejandro,78,obrero,divorciado,tecnica,si,si,744723,no,si,celular,mar,30,512,409,,ninguno
Antonio Andrea Chávez,650,técnico,divorciado,,si,no,88387,no,si,telefono fijo,may,27,787,341,otro,si
Alvaro Sanabria Roybal,73,desempleado,divorciado,primaria,si,no,591356,no,no,otro,dic,11,526,129,otro,si
Cornelio Andrea Roybal Carrasco,26,servicios,casado,tecnologia,si,no,370683,no,no,,oct,30,535,942,otro,no
Dulce María Bustamante Mateo,24,servicios,casado,doctorado,si,no,657416,si,si,,feb,11,373,967,fracaso,si
Bianca Olga Rocha,50,jubilado,divorciado,posgrado,si,si,12712,no,si,celular,dic,28,743,473,exitoso,si
Delia Horacio Corrales Zedillo,77,obrero,viudo,posgrado,no,no,477677,no,si,celular,abr,24,869,456,otro,ninguno
Alvaro Blanca Barrera,38,admin,casado,secundaria,no,si,638760,no,si,telefono fijo,jun,11,788,483,,si
Cecilia Aguirre Núñez,400,independiente,soltero,otro,si,no,132153,no,no,,jul,25,645,834,,no
Camilo Badillo Guillen,19,servicios,divorciado,primaria,no,si,49484,si,si,telefono fijo,jul,2,343,75,,si
Ana Luisa Ocasio,58,gerente,divorciado,doctorado,no,no,651324,no,no,telefono fijo,may,22,900,935,fracaso,ninguno
Mtro. Alfonso Gonzales,61,jubilado,casado,ninguno,no,si,157371,no,no,otro,dic,31,451,896,,no
David Corrales,29,jubilado,divorciado,universitaria,no,no,745906,si,si,,sep,11,492,891,,ninguno
Berta Lucas Tamayo Navarrete,75,,casado,secundaria,si,si,884700,no,si,otro,dic,2,890,10,inexistente,si
María Aguilera Maldonado,200,,divorciado,otro,si,no,445958,no,si,otro,sep,12,852,805,fracaso,no
Mtro. Graciela Hurtado,550,otro,casado,universitaria,no,no,66771,no,no,celular,mar,27,56,804,fracaso,si
Juan Ruby Campos,33,obrero,casado,,no,no,541618,si,si,telefono fijo,nov,2,707,961,otro,ninguno
Ramiro Moya Villa,34,,viudo,secundaria,si,no,30904,no,si,,jul,20,879,418,,no
Sr(a). Abraham Alba,65,gerente,viudo,tecnologia,no,no,792090,si,si,otro,ago,18,542,60,exitoso,no
Mateo Espinal Matías,67,,viudo,otro,no,si,945874,si,no,celular,dic,2,865,994,,si
Linda Patiño Esquibel,56,admin,viudo,tecnica,si,no,150410,no,no,otro,jul,11,321,181,fracaso,si
Carlota Lebrón Cedillo,63,estudiante,casado,ninguno,si,si,620014,no,si,telefono fijo,may,17,58,483,fracaso,no
Mayte Espinoza,67,,divorciado,secundaria,no,si,853106,si,si,celular,mar,18,653,343,otro,si
Mercedes Uriel Pantoja,37,jubilado,casado,secundaria,si,si,526164,no,si,,jun,21,918,771,inexistente,no
Rebeca Matías Ayala,36,otro,soltero,posgrado,no,no,505118,si,si,celular,jul,24,166,493,,no
María Eugenia Pedroza Castillo,58,obrero,divorciado,doctorado,si,si,704925,no,no,otro,mar,30,421,842,exitoso,no
Gabriel Asunción Soto Ureña,50,admin,divorciado,posgrado,si,si,116031,no,si,telefono fijo,nov,13,380,318,,no
Oswaldo Valencia Aguilar,83,jubilado,viudo,otro,si,si,852925,si,si,otro,nov,12,3,529,,si
Indira Zayas Arriaga,60,estudiante,soltero,primaria,no,si,428555,si,si,celular,may,30,836,564,exitoso,no
Benito Guadalupe Vázquez,68,,viudo,doctorado,no,si,997294,no,no,telefono fijo,ene,30,184,769,exitoso,si
Dr. Florencia Briseño,69,obrero,divorciado,,si,no,988674,si,si,,dic,28,135,645,fracaso,ninguno
Ofelia Navarrete,48,técnico,soltero,primaria,no,no,355916,no,no,,ene,8,29,990,,no
Anabel Víctor Tovar Grijalva,26,técnico,soltero,posgrado,si,si,146589,si,si,celular,dic,11,81,809,exitoso,si
Soledad Montalvo Salazar,150,emprendedor,divorciado,otro,si,si,708222,si,si,celular,nov,28,677,97,exitoso,no
Reina Robledo Cervántez,32,,casado,tecnologia,si,no,43012,si,si,otro,nov,21,509,682,,ninguno
Humberto Loera,41,emprendedor,soltero,universitaria,si,si,325412,si,si,celular,abr,23,842,895,,ninguno
Georgina Muñiz,48,emprendedor,soltero,otro,si,si,906596,no,no,,feb,16,183,261,inexistente,no
Adán Augusto Mercado,75,jubilado,casado,posgrado,no,si,274261,si,no,,mar,16,343,186,inexistente,si
Carmen Enrique Montenegro de Jesús,59,otro,soltero,otro,si,si,816453,no,no,,sep,13,138,183,otro,no
Juan Quintana,21,estudiante,viudo,,no,no,446918,si,no,telefono fijo,nov,21,667,482,,no
Ofelia Estela Fierro,31,otro,viudo,universitaria,si,si,687542,si,si,celular,sep,15,20,675,otro,si
Rosalia Alba,350,otro,viudo,posgrado,no,no,431429,si,no,,may,15,220,118,otro,no
Camila Rolando de León,24,estudiante,viudo,universitaria,si,no,777643,no,no,celular,oct,19,702,247,fracaso,no
Homero Adalberto Casárez Ávalos,34,otro,divorciado,doctorado,no,no,545987,si,si,celular,abr,6,722,303,otro,ninguno
Blanca Montoya Suárez,64,emprendedor,soltero,,no,si,270087,si,si,,sep,14,251,981,exitoso,no
Vanesa César Olivas,70,estudiante,casado,primaria,no,no,844689,si,no,otro,jun,9,74,818,,ninguno
Juan María Elena Sáenz,700,estudiante,divorciado,,si,no,791834,si,no,,may,13,312,461,,si
Roberto Teresa Balderas Arellano,82,desconocido,divorciado,universitaria,si,no,204320,si,si,otro,sep,6,426,223,inexistente,no
Tomás Benavides,18,,casado,tecnologia,si,si,940962,no,no,telefono fijo,abr,26,403,496,fracaso,no
Lic. Óliver de la Garza,80,emprendedor,soltero,primaria,no,no,764192,no,si,,ene,7,167,814,inexistente,ninguno
Daniela Arturo Orta,83,desconocido,divorciado,doctorado,no,no,45524,no,no,otro,nov,6,655,698,,si
Ing. Daniel Laboy,31,servicios,soltero,,si,no,180079,no,no,celular,ene,25,326,573,fracaso,ninguno
Gerónimo Olvera,38,jubilado,viudo,primaria,si,no,163527,si,si,,sep,5,58,4,otro,ninguno
Concepción Jacobo Franco,55,,viudo,tecnologia,si,si,574749,no,no,telefono fijo,oct,15,466,222,,no
Sr(a). Linda Covarrubias,32,obrero,soltero,tecnica,no,si,657619,no,si,celular,oct,8,931,813,inexistente,ninguno
Florencia Aparicio Caballero,87,desempleado,soltero,universitaria,no,si,84005,si,si,otro,feb,22,30,60,,si
Ing. Hugo Páez,400,servicios,casado,posgrado,si,si,666286,no,no,celular,ago,28,78,74,inexistente,si
Jonás Lira Flores,30,emprendedor,viudo,posgrado,si,si,940841,si,si,telefono fijo,jul,2,140,302,otro,no
Ing. Alta  Gracia Montañez,100,obrero,soltero,posgrado,si,no,645102,si,si,celular,abr,11,697,215,inexistente,si
Perla María Cristina Santana,650,desconocido,divorciado,secundaria,si,no,573780,no,si,otro,may,13,982,502,otro,no
Mtro. Abraham Reséndez,600,jubilado,divorciado,secundaria,no,si,196938,si,si,telefono fijo,abr,3,685,191,inexistente,si
Mtro. Óscar Valdez,57,emprendedor,casado,posgrado,no,no,882304,si,no,celular,jul,11,152,569,otro,ninguno
Dulce José Verduzco,37,independiente,divorciado,otro,no,si,945977,no,no,otro,sep,11,183,884,otro,no
Mayte Jimínez Villa,34,admin,viudo,ninguno,no,no,366015,no,si,celular,mar,6,17,645,fracaso,ninguno
Sr(a). Raquel Sandoval,61,desconocido,viudo,primaria,si,no,860747,si,no,telefono fijo,feb,6,853,981,,ninguno
Barbara Puga Rodríguez,72,servicios,divorciado,tecnica,no,si,253338,si,no,otro,dic,6,974,26,exitoso,no
Timoteo Flores,26,independiente,viudo,primaria,no,no,889406,si,si,,jul,11,667,89,fracaso,si
Julia Sierra,250,jubilado,divorciado,universitaria,no,no,657552,no,si,celular,ene,24,720,407,fracaso,si
Sr(a). José María Jiménez,450,desconocido,divorciado,doctorado,si,no,944095,si,no,otro,nov,26,337,456,,ninguno
Julio César Julia Hernández Mora,49,desconocido,divorciado,posgrado,si,no,696665,si,no,,mar,5,999,512,inexistente,si
Cristobal Munguía Gonzales,21,admin,casado,,si,si,194996,si,si,celular,abr,30,247,993,fracaso,no
Celia Alejandro Zepeda Narváez,19,servicios,soltero,posgrado,no,no,71596,si,si,otro,sep,21,412,778,,no
Yuridia María Yáñez,83,obrero,soltero,primaria,no,no,808169,no,si,celular,jun,22,910,169,otro,si
Salma Andrés Vallejo,53,otro,divorciado,posgrado,no,no,406942,no,si,telefono fijo,ago,21,906,516,exitoso,no
Esther Medrano,46,,soltero,tecnica,no,si,709325,no,si,telefono fijo,may,19,831,279,inexistente,ninguno
Amador Isaac García,95,independiente,divorciado,posgrado,si,no,329627,si,no,celular,sep,18,210,731,,si
Jacobo Dueñas Burgos,69,estudiante,viudo,otro,no,no,652687,si,no,telefono fijo,may,10,309,458,,no
César Teresa Campos Molina,41,otro,casado,ninguno,si,si,159829,no,si,,ene,10,918,884,,ninguno
Eduardo Samuel Armenta,66,,divorciado,,si,no,779797,si,si,otro,jun,22,212,462,fracaso,ninguno
Ivonne Amelia Báez,81,admin,soltero,doctorado,no,si,883025,no,si,otro,ene,13,977,652,,ninguno
Felipe Badillo,77,desconocido,casado,otro,no,no,429749,si,no,telefono fijo,sep,21,680,833,fracaso,ninguno
Evelio Elias Sauceda,76,técnico,casado,universitaria,si,no,70817,no,no,otro,feb,25,120,623,otro,ninguno
Maximiliano Luis Vigil Alcaraz,70,obrero,soltero,posgrado,no,no,205155,no,si,otro,jun,1,612,399,inexistente,ninguno
Eugenia Gilberto Arriaga,27,desempleado,soltero,,no,si,560588,si,si,telefono fijo,oct,11,224,9,otro,no
Ing. Eva Matías,68,servicios,casado,tecnologia,si,si,866814,si,si,celular,sep,26,562,127,otro,ninguno
Dr. Elsa Quintero,650,emprendedor,viudo,ninguno,si,si,806833,si,no,telefono fijo,jun,3,816,189,inexistente,ninguno
Guillermina Lilia Granados,68,estudiante,casado,primaria,si,no,707011,si,si,telefono fijo,nov,19,971,456,,no
Samuel Dolores Angulo,65,obrero,divorciado,otro,si,si,54521,si,si,otro,feb,2,334,971,fracaso,ninguno
Jorge Pamela Esquivel,55,obrero,casado,,no,no,797302,no,si,,may,14,965,328,inexistente,si
Judith Eugenia Mireles,46,obrero,viudo,tecnica,no,si,89711,no,si,,oct,26,305,440,fracaso,ninguno
Lic. Natividad Salazar,83,gerente,divorciado,maestria,si,si,985870,si,no,,ago,20,756,938,,si
Manuel Sessa Espinosa Hernandes,61,independiente,divorciado,primaria,no,si,840958,si,si,otro,ene,4,866,239,,si
Fernando Socorro Rosas,200,obrero,divorciado,universitaria,si,no,702692,si,no,,jul,24,169,917,inexistente,si
Mtro. Jos Riojas,51,servicios,casado,universitaria,si,no,317431,si,no,telefono fijo,abr,28,930,208,,ninguno
Leticia Ochoa Castañeda,59,jubilado,soltero,ninguno,si,no,858726,no,si,celular,oct,22,499,402,otro,si
Lic. Rodolfo Treviño,72,desempleado,viudo,posgrado,si,si,640921,si,no,,abr,16,860,286,,ninguno
Lic. Miguel Ángel Heredia,59,emprendedor,soltero,doctorado,no,si,496816,no,no,telefono fijo,feb,27,224,318,exitoso,si
Carolina Rael,75,desempleado,viudo,primaria,no,no,733927,no,no,otro,sep,26,195,469,,ninguno
Aldonza Vásquez Tafoya,75,desconocido,casado,maestria,no,no,984685,si,no,telefono fijo,ago,1,119,134,otro,si
Pamela Valenzuela,20,servicios,soltero,tecnologia,no,si,202464,si,si,,nov,23,594,782,,no
Berta Colunga Mayorga,500,desempleado,divorciado,posgrado,no,si,589573,si,si,,jul,8,13,967,otro,si
Caridad Guajardo Urbina,35,,viudo,secundaria,no,no,517293,no,si,telefono fijo,mar,6,628,183,inexistente,no
Noelia Piña,28,independiente,soltero,doctorado,si,si,654131,si,no,celular,jun,5,288,982,,no
Mayte Hernán Esquivel,200,desconocido,divorciado,secundaria,no,no,927513,no,si,,jul,23,821,364,,no
Amanda Camarillo,67,jubilado,soltero,primaria,no,no,965395,si,si,,dic,22,656,969,exitoso,ninguno
Asunción Mauro Meléndez Rosales,68,estudiante,soltero,tecnologia,no,no,530390,no,si,telefono fijo,may,23,531,659,,ninguno
Nancy Guillen,650,,soltero,doctorado,no,si,731183,si,si,,mar,25,631,183,exitoso,si
Jaime Venegas Castellanos,44,admin,divorciado,otro,no,no,907154,no,no,otro,may,23,635,352,exitoso,no
Delia Cervantes,18,desempleado,viudo,,si,no,300884,no,no,,abr,15,122,904,,no
Pablo Patiño Colón,83,otro,divorciado,primaria,no,no,255037,si,no,,nov,6,434,471,otro,ninguno
Nadia Granado,83,independiente,divorciado,universitaria,si,no,142283,si,si,celular,mar,16,473,876,exitoso,ninguno
Ricardo Salcido,83,estudiante,casado,universitaria,si,no,658755,si,si,otro,oct,9,358,235,inexistente,ninguno
Úrsula Sánchez,150,técnico,soltero,,no,no,158806,no,no,,sep,27,743,634,inexistente,ninguno
Sandra Berta Vela,71,,soltero,posgrado,si,si,343613,no,si,otro,jun,13,572,452,,no
Alejandra José Eduardo Guajardo Pelayo,350,obrero,casado,tecnologia,no,no,152176,si,si,celular,ene,8,231,557,fracaso,si
Noemí Salcedo Rico,250,desconocido,casado,ninguno,si,si,484080,no,si,telefono fijo,may,8,585,723,otro,no
Sr(a). Ángela de la Garza,22,desconocido,casado,doctorado,no,si,242986,no,si,celular,may,28,804,181,inexistente,si
Carmen Camila Vergara,53,desconocido,divorciado,tecnologia,no,no,296195,si,no,,ago,5,443,439,otro,ninguno
Mtro. Lilia Robledo,57,jubilado,viudo,universitaria,si,no,211321,no,si,,nov,25,668,271,fracaso,ninguno
Alejandro Vaca,23,jubilado,divorciado,posgrado,no,no,124760,si,si,celular,nov,15,435,139,,ninguno
Luis Caridad Covarrubias,84,independiente,soltero,doctorado,si,no,197834,si,no,,mar,14,578,526,exitoso,si
Hugo Salgado,74,desconocido,soltero,,no,si,841711,si,no,celular,jun,30,927,804,exitoso,si
David Renato Cadena Ocasio,53,jubilado,soltero,posgrado,si,si,765315,no,no,,sep,22,845,101,fracaso,si
Esperanza Pérez Rosado,59,desempleado,divorciado,primaria,no,si,770766,si,no,otro,oct,16,251,703,,no
Graciela Alonzo Orozco,54,obrero,soltero,universitaria,no,no,977837,si,si,telefono fijo,oct,19,892,205,otro,ninguno
